time,soc_kwh
2025-11-04 00:00:00,2.7654770404077304e-08
2025-11-04 00:15:00,3.2998025558166694e-08
2025-11-04 00:30:00,5.488063241028306e-08
2025-11-04 00:45:00,5.101877566932588e-08
2025-11-04 01:00:00,2.540622764057852e-08
2025-11-04 01:15:00,5.161738305860761e-08
2025-11-04 01:30:00,7.986362682495003e-08
2025-11-04 01:45:00,4.618614363203542e-08
2025-11-04 02:00:00,3.299569321405532e-08
2025-11-04 02:15:00,6.040380597438031e-08
2025-11-04 02:30:00,3.509859451915504e-08
2025-11-04 02:45:00,4.4087121795928947e-08
2025-11-04 03:00:00,4.242570614316549e-08
2025-11-04 03:15:00,-1.2110811068180985e-08
2025-11-04 03:30:00,-6.695604281980683e-09
2025-11-04 03:45:00,-7.976084372734326e-09
2025-11-04 04:00:00,-3.2593135735339245e-08
2025-11-04 04:15:00,-2.7847301683710302e-08
2025-11-04 04:30:00,-7.879487645865082e-08
2025-11-04 04:45:00,-6.828866511352462e-08
2025-11-04 05:00:00,-4.251537851758478e-08
2025-11-04 05:15:00,-1.2148355872664605e-07
2025-11-04 05:30:00,-1.4613651920843952e-07
2025-11-04 05:45:00,-2.0299471272121559e-07
2025-11-04 06:00:00,-2.251744143942602e-07
2025-11-04 06:15:00,-2.940423268264484e-07
2025-11-04 06:30:00,-4.122203353030637e-07
2025-11-04 06:45:00,-5.01333741247951e-07
2025-11-04 07:00:00,-6.745987436484592e-07
2025-11-04 07:15:00,-7.637038733311961e-07
2025-11-04 07:30:00,-7.548200773318582e-07
2025-11-04 07:45:00,-6.048566383800888e-07
2025-11-04 08:00:00,-1.8923786956089224e-07
2025-11-04 08:15:00,6.909763973809762e-07
2025-11-04 08:30:00,2.150495100003441e-06
2025-11-04 08:45:00,4.444389214693631e-06
2025-11-04 09:00:00,1.93414004536979e-06
2025-11-04 09:15:00,-4.6078085148459024e-07
2025-11-04 09:30:00,1.1500856230274685e-06
2025-11-04 09:45:00,2.8753074576078817e-06
2025-11-04 10:00:00,2.390123101847053e-06
2025-11-04 10:15:00,2.2687697288231374e-06
2025-11-04 10:30:00,1.9103239376087965e-06
2025-11-04 10:45:00,-8.16868980972368e-07
2025-11-04 11:00:00,-7.873201840538277e-06
2025-11-04 11:15:00,-1.5904069119290104e-05
2025-11-04 11:30:00,-9.59771093829308e-06
2025-11-04 11:45:00,1.5172951606705645e-06
2025-11-04 12:00:00,3.6857786532856978e-06
2025-11-04 12:15:00,5.806979448523644e-06
2025-11-04 12:30:00,8.05589594838187e-06
2025-11-04 12:45:00,3.399988193359662e-06
2025-11-04 13:00:00,1.6142247607505697e-07
2025-11-04 13:15:00,-1.91069560596112e-06
2025-11-04 13:30:00,-1.1506602526701675e-06
2025-11-04 13:45:00,-9.856223452579558e-07
2025-11-04 14:00:00,-1.481747077515567e-06
2025-11-04 14:15:00,-1.115386978805236e-06
2025-11-04 14:30:00,-2.2701192992796944e-06
2025-11-04 14:45:00,-7.1714819211319515e-06
2025-11-04 15:00:00,-4.9067322583035375e-06
2025-11-04 15:15:00,-2.8417367536021194e-06
2025-11-04 15:30:00,-1.5074418696531483e-06
2025-11-04 15:45:00,-2.3633178314208232e-07
2025-11-04 16:00:00,3.22238929547455e-07
2025-11-04 16:15:00,5.071874944906331e-06
2025-11-04 16:30:00,1.2478715282139357e-05
2025-11-04 16:45:00,3.1169508728090288e-06
2025-11-04 17:00:00,2.3655095825063646e-06
2025-11-04 17:15:00,-1.211579516282822e-06
2025-11-04 17:30:00,1.4215371842489515e-05
2025-11-04 17:45:00,1.7654232609239166e-05
2025-11-04 18:00:00,-6.492853481159275e-06
2025-11-04 18:15:00,-6.806001684799156e-07
2025-11-04 18:30:00,-4.0104109204541834e-05
2025-11-04 18:45:00,-8.054552911925645e-05
2025-11-04 19:00:00,-6.284505995294919e-05
2025-11-04 19:15:00,3.76971902500033e-05
2025-11-04 19:30:00,2.8085483975536733e-05
2025-11-04 19:45:00,2.3221763838745662e-05
2025-11-04 20:00:00,1.904059262266774e-05
2025-11-04 20:15:00,1.5263326475547252e-05
2025-11-04 20:30:00,1.1843528387565955e-05
2025-11-04 20:45:00,8.796679121781443e-06
2025-11-04 21:00:00,6.181456668684702e-06
2025-11-04 21:15:00,3.996986516608514e-06
2025-11-04 21:30:00,2.197147494966761e-06
2025-11-04 21:45:00,7.221936939712132e-07
2025-11-04 22:00:00,-4.097366082541017e-07
2025-11-04 22:15:00,-1.1999160056599948e-06
2025-11-04 22:30:00,-1.770320474252878e-06
2025-11-04 22:45:00,-2.0694651932112548e-06
2025-11-04 23:00:00,-2.176050362061951e-06
2025-11-04 23:15:00,-1.976502311501189e-06
2025-11-04 23:30:00,-1.5375985558435017e-06
2025-11-04 23:45:00,-8.270543036178978e-07
